gid,code,name,name_en,status,lon,lat
1757,33205,หมวดทางหลวงหลังสวน,NULL,TRUE,99.062057,9.940616
2036,41102,หมวดทางหลวงหลักสี่,NULL,TRUE,100.5826,13.88485
1832,55103,หมวดทางหลวงหล่มสัก,NULL,TRUE,101.214804,16.74621
1834,55105,หมวดทางหลวงหล่มเก่า,NULL,TRUE,101.23155,16.886315
1670,33301,หมวดทางหลวงหัวหิน,NULL,TRUE,99.966851,12.455289
1954,32106,หมวดทางหลวงหัวไทร,NULL,TRUE,100.321215,8.006465
1961,31103,หมวดทางหลวงหาดใหญ่,NULL,TRUE,100.465767,7.007212
2051,31301,หมวดทางหลวงหนองจิก,NULL,TRUE,101.22406,6.848
1674,43106,หมวดทางหลวงหนองม่วง,NULL,TRUE,100.6157606,15.30199729
1992,64601,หมวดทางหลวงหนองคาย,NULL,TRUE,102.764181,17.787345
1859,62205,หมวดทางหลวงหนองปลิง,NULL,TRUE,103.3053504,16.04635472
1891,43506,หมวดทางหลวงหนองย่างเสือ,NULL,TRUE,101.13169,15.20904
1751,55401,หมวดทางหลวงหนองหิน,NULL,TRUE,101.85931,17.122176
1854,62401,หมวดทางหลวงหนองหาน,NULL,TRUE,102.978812,17.363474
1941,42307,หมวดทางหลวงหนองตาคง,NULL,TRUE,102.382472,13.040354
1741,44702,หมวดทางหลวงหนองฉาง,NULL,TRUE,99.84750849,15.38345699
1738,61708,หมวดทางหลวงหนองกี่,NULL,TRUE,102.543167,14.683307
1882,61904,หมวดทางหลวงหนองสังข์,NULL,TRUE,102.512781,13.687002
1749,63903,หมวดทางหลวงหนองสูง,NULL,TRUE,104.349145,16.498869
1991,62803,หมวดทางหลวงหนองสองห้อง,NULL,TRUE,102.793007,15.733169
1746,61403,หมวดทางหลวงหนองบุญมาก,NULL,TRUE,102.336611,14.750977
1743,43806,หมวดทางหลวงหนองบัว,NULL,TRUE,100.6019283,15.86512787
1907,44403,หมวดทางหลวงหนองบัว,NULL,TRUE,99.39068522,14.06915131
1745,62901,หมวดทางหลวงหนองบัวลำภู,NULL,TRUE,102.447126,17.207863
1864,61101,หมวดทางหลวงหนองบัวโคก,NULL,TRUE,101.83412,15.41401
1744,62605,หมวดทางหลวงหนองบัวแดง,NULL,TRUE,101.785704,16.062213
